Year,Barley,Maize (corn),Oats,Rice,Wheat,Groundnuts,Cotton,Sunflower seed,Sugar cane,Tobacco
2006,3922630,267502850,1357470,8826230,49216040,1575980,11654560,972330,29564000,330167
2007,4574610,331177280,1312590,8998730,55820360,1696728,10158983,1301298,27750600,357272
2008,5205180,305911450,1307090,9241170,68016096,2341630,6691370,1552570,25041020,363101
2009,4933700,331921050,1321490,9972230,60365728,1674500,6417250,1377320,27607450,373115
2010,3924280,315617920,1188140,11027010,60062408,1885510,9473800,1240830,24820574,325766
2011,3370110,312788890,727580,8388780,54418808,1659510,9743176,924550,26511598,271363
2012,4767940,273192400,892470,9069080,61677384,3063510,10280230,1241060,29235840,336245
2013,4719070,351271870,938280,8616120,58104610,1892920,7625804,917060,27905910,328210
2014,3952610,361091140,1019410,10079500,55147120,2353540,9791640,1006540,27600190,397533
2015,4665770,345486340,1299600,8724530,55839540,2817080,8469158,1326180,29140590,326210
2016,4352610,412262180,938070,10167050,62831507,2531760,10083328,1202760,29136968,285180
2017,3119070,371096030,719720,8084290,47379810,3227500,12000000,969670,30153010,322120
2018,3342660,364262150,814720,10152890,51305540,2492910,11132694,955740,31335980,241870
2019,3755720,345962110,773040,8396180,52580890,2479560,12819060,887240,28972760,212260
2020,3599510,360251560,948630,10322990,49690680,2782290,9737277,1352800,32749379,176635
