Year,"Cereals, Total","Citrus Fruit, Total",Fruit Primary,Oilcrops,Sugar Crops Primary,Vegetables Primary
2006,338336800,10546030,28972843,74150780,63628000,35133099
2007,415130860,9494300,27854904,62632582,59662600,36558498
2008,402399936,11646440,30636409,68145337,49427050,34876077
2009,418666166,10740154,30277985,76206439,54626130,36639164
2010,401126330,9979033,29156900,76854072,53881330,34723852
2011,385545256,10690005,29947363,71344389,52725638,33970839
2012,356210124,11111000,29980306,71258081,61190520,35260077
2013,434308450,10079729,30435436,76523662,57651590,33637343
2014,442849090,8537514,28600145,89800684,55981460,35662550
2015,431870371,8219100,27353570,89921998,61228620,34474393
2016,503466147,7936060,27690095,98222467,62630238,34135076
2017,440272862,7007600,26465847,101352891,62192050,32078987
2018,439711070,5561471,24380600,101324357,61528900,31732094
2019,420873484,7233405,25442399,82938547,54963600,32983409
2020,434875197,7148807,23747765,94836335,63247119,33124467
