Year,N,P,K
2006,11969757.81,4147376.29,4656851.22
2007,11395419.17,3852722.7,4227208.55
2008,10397606.72,2846292,2794582.47
2009,11097590.44,3775158.41,4045862.33
2010,11624755.46,3896449.01,4146106.23
2011,12231299.15,3945618.42,4185750.21
2012,12249079.97,4261953.72,4399120.05
2013,12060839.15,4258869.29,4766348.41
2014,11802200.79,3870503.52,4304137.81
2015,11829381,3944392,4437563
2016,11644828.99,3948543.95,4498031.39
2017,11581692.82,4009797.7,4554114.13
2018,11627052.53,3982581.87,4408963.08
2019,11672412.23,3973509.93,4304635.76
2020,11621291.92,3973509.93,4304635.76
