Year,Urea,AmoniumNitrate_AN,UreaAmmoniumNitrate_UAN,Superphosphates,NPK, Ammonia_Anhydrous,AmmoniumSulphate,DiammoniumPhosphate_DAP,MonoammoniumPhosphate_MAP,PotassiumChloride,PotassiumSulphate,PK_compounds,Other_Phosphatic_fertilizers,NP_Compounds,NK_Compounds,Other_Nitrogenous_fertilizers
2008,4931500.47,761869.67,9251595.28,96691,6667353.17,,1170771.14,2080619.07,2239768.12,4212341.83,292950.92,296795.97,,2152268.35,,
2009,4844182,677444,9297951,72930,6306925,,1108148,1833097,2057636,3703251,231182,290098,,2224462,,
2010,5138018.86,661080.56,10377626.81,86863,6745839.06,,1217021.7,2161904.74,2407017.51,4809948.83,257596.84,335086.46,,2650184.34,,
2011,5584730.13,709830.53,10659097.54,99933,6767831.08,,1367805.5,2265924.7,2413184.07,4961553.48,274144.43,332354.35,,2572254.56,,
2012,5811205,788317,11082229,101961,6749311,4111265,1381014,2388198,2563668,5058189,293948,313416,2508905,2692051,1398266,
2013,5988285,828863,10552254,109863,6924375,3849871,1376330,2531251,2615504,5376038,296125,316702,2814875,3038459,1472893,
2014,6147646,700767,10942814,144529,7257275,3531865,1667606,2477096,2597119,5614034,308746,266451,2421090,2926382,1381072,
2015,6349175.59,580057.29,10713687.28,182859,6668634.85,3492217.69,1727807.08,2195580.51,2502775.47,5380281.96,281832.89,263225.07,2388345,2774276.55,1275783.54,
2016,6273882.31,627373.13,10548312.62,237887,6476306.56,3471832.73,1682362.9,2150252.13,2677360.09,5601909.76,292218.31,287774.95,1008735,2591513.43,1269082.91,1682429
2017,6239866.44,623971.63,10491121.56,241577,6446652,3453009.07,1673241.43,2183608.98,2718893.96,5671755.97,295861.77,300547.27,992970,2631715.57,1263271.87,1370975
2018,6264304.88,626415.41,10532210.04,239938,6417133.22,3466532.78,1679794.68,2168788.11,2700439.93,5490982.87,286431.92,313886.45,614595,2613853.25,1257487.43,1067580
2019,6288743.32,628859.2,10573298.52,239391,6387749.61,3480056.5,1686347.93,2163847.82,2694288.59,5361052.21,279654.21,327817.67,497070,2607899.14,1251729.49,1134925
